declarationRequestNumber,region,stateAbbreviation,state,tribalRequest,declarationRequestDate,declarationRequestType,incidentName,requestedIncidentTypes,requestedIncidentBeginDate,requestedIncidentEndDate,currentRequestStatus,requestStatusDate,ihProgramRequested,iaProgramRequested,paProgramRequested,hmProgramRequested,incidentId,incidentBeginDate,id
16074,8,MT,Montana                       ,1,2016-08-02T00:00:00.000Z,Major Disaster,Severe Storms and Straight Straight Line Winds,Severe Storm,2016-06-24T00:00:00.000Z,2016-06-24T00:00:00.000Z,Turndown,2016-08-12T00:00:00.000Z,1,0,0,1,2016080403,2016-06-24T00:00:00.000Z,ffc962fd-049c-4215-9067-30a4bf061470
16088,5,WI,Wisconsin                     ,1,2016-09-02T00:00:00.000Z,Major Disaster,Bad River Severe Storms and Flooding,Severe Storm,2016-07-11T00:00:00.000Z,2016-07-14T00:00:00.000Z,Turndown,2016-10-27T00:00:00.000Z,1,0,0,0,2016081603,2016-07-11T00:00:00.000Z,688ded65-d979-4b21-8d19-243f726d56c6
16092,6,NM,New Mexico                    ,1,2016-09-21T00:00:00.000Z,Major Disaster,Flooding,Flood,2016-08-03T00:00:00.000Z,2016-08-05T00:00:00.000Z,Turndown,2016-11-28T00:00:00.000Z,1,0,0,1,2016092801,2016-08-03T00:00:00.000Z,5bf7f1b3-7feb-428e-9940-ee4e66898ce1
16108,10,WA,Washington                    ,1,2016-10-18T00:00:00.000Z,Major Disaster,Cayuse Mountain Fire,Fire,2016-08-21T00:00:00.000Z,2016-09-07T00:00:00.000Z,Turndown,2016-10-31T00:00:00.000Z,1,0,0,0,2016083001,2016-08-21T00:00:00.000Z,1a429ce7-65ab-4604-be19-f31816cd6d4a
16112,3,DE,Delaware                      ,0,2016-10-27T00:00:00.000Z,Major Disaster,DE Severe Storms - 09/29/2016,Severe Storm,2016-09-29T00:00:00.000Z,2016-09-30T00:00:00.000Z,Turndown,2016-11-18T00:00:00.000Z,0,0,1,1,2016102401,2016-09-29T00:00:00.000Z,8993f294-2767-4541-be3a-f6bbed49bcb4
16124,7,KS,Kansas                        ,0,2016-11-24T00:00:00.000Z,Emergency,Chemical Plant Explosion - Neodesha KS,Other,2016-11-22T00:00:00.000Z,,Turndown,2017-01-06T00:00:00.000Z,0,0,1,0,2016112301,2016-11-23T00:00:00.000Z,117e2ee3-0e69-4e90-a019-cfc8b2513361
17001,10,AK,Alaska                        ,1,2016-12-23T00:00:00.000Z,Major Disaster,Newtok Village-Yukip Tribe- Storm Damage,Severe Storm,2006-01-01T00:00:00.000Z,,Turndown,2017-01-18T00:00:00.000Z,1,0,1,1,2017010401,2006-01-01T00:00:00.000Z,f64ac3f7-7fb8-4f68-909b-14b5d135d7cc
17004,10,AK,Alaska                        ,1,2017-01-15T00:00:00.000Z,Major Disaster,Kivalina-StormFloodErosion-01-15-2017,Severe Storm,2017-01-13T00:00:00.000Z,,Turndown,2017-02-01T00:00:00.000Z,0,0,1,1,2017011701,2017-01-13T00:00:00.000Z,7907552d-2809-4a3e-891e-d692e899b06a
17008,8,SD,South Dakota                  ,1,2017-01-25T00:00:00.000Z,Major Disaster,Severe Winter Storm,Severe Ice Storm,2016-12-25T00:00:00.000Z,2016-12-26T00:00:00.000Z,Turndown,2017-02-21T00:00:00.000Z,0,0,1,1,2017011801,2016-12-25T00:00:00.000Z,a875bf7b-161f-4662-b0b3-d752a8bc7255
17018,10,ID,Idaho                         ,0,2017-02-28T00:00:00.000Z,Major Disaster,FEMA_R10_SevereWinterStorm_2017-2-3_1430_PST_Idaho,Severe Ice Storm,2016-12-22T00:00:00.000Z,2017-01-19T00:00:00.000Z,Turndown,2017-03-21T00:00:00.000Z,1,0,1,1,2017020301,2017-02-03T00:00:00.000Z,088de560-e070-46e6-bfb5-51e5344e0a6d
17040,3,PA,Pennsylvania                  ,0,2017-05-02T00:00:00.000Z,Major Disaster,Severe Winter Storm - 03/13/2017,Snowstorm,2017-03-13T00:00:00.000Z,2017-03-16T00:00:00.000Z,Turndown,2017-06-13T00:00:00.000Z,0,0,1,1,2017031303,2017-03-13T00:00:00.000Z,0ab1ea5e-537b-4e83-8a67-e3da536fefe4
17045,8,ND,North Dakota                  ,0,2017-04-29T00:00:00.000Z,Major Disaster,ND-Dakota Access Pipeline,Other,2016-08-10T00:00:00.000Z,2017-03-31T00:00:00.000Z,Turndown,2017-05-18T00:00:00.000Z,0,0,1,1,2017042701,2016-08-10T00:00:00.000Z,8b6aedb9-a275-4e3d-a076-d9b63b93145e
17077,2,NY,New York                      ,0,2017-08-31T00:00:00.000Z,Major Disaster,NY June 30 Severe Storm,Severe Storm,2017-06-30T00:00:00.000Z,,Turndown,2018-01-26T00:00:00.000Z,1,0,1,0,2017081001,2017-06-30T00:00:00.000Z,1475bd99-f3d6-4965-bc5b-ed3fd421b267
17084,8,ND,North Dakota                  ,0,2017-08-24T00:00:00.000Z,Major Disaster,ND-Severe Storm,Severe Storm,2017-07-20T00:00:00.000Z,2017-07-20T00:00:00.000Z,Turndown,2017-11-14T00:00:00.000Z,0,0,1,1,2017080402,2017-07-20T00:00:00.000Z,30f872c7-b9fc-4876-98a6-972a9e9a8086
17088,5,IL,Illinois                      ,0,2017-08-31T00:00:00.000Z,Major Disaster,RV_IL_Flooding_07142017,Flood,2017-07-11T00:00:00.000Z,2017-07-27T00:00:00.000Z,Turndown,2017-11-07T00:00:00.000Z,1,0,0,1,2017071401,2017-07-14T00:00:00.000Z,df35406b-a7c1-46a0-ae04-38fab1ee1e9a
17136,8,ND,North Dakota                  ,0,2017-08-07T00:00:00.000Z,Major Disaster,ND - Drought,Drought,2017-05-23T00:00:00.000Z,,Turndown,2017-10-07T00:00:00.000Z,0,0,0,1,2017101004,2017-06-22T00:00:00.000Z,c85aa9f8-3439-49c4-b58c-bb76eaa92de7
17140,8,MT,Montana                       ,0,2017-11-15T00:00:00.000Z,Major Disaster,MT - historic series of wildfires,Other,2017-08-10T00:00:00.000Z,2017-09-20T00:00:00.000Z,Turndown,2018-04-26T00:00:00.000Z,0,0,1,1,2017112101,2017-08-10T00:00:00.000Z,6a81c01f-8fe7-43c3-9aff-687ce6fb8ae6
18014,5,IL,Illinois                      ,0,2018-04-11T00:00:00.000Z,Major Disaster,IL-Flooding-02202018-Region V,Flood,2018-02-18T00:00:00.000Z,2018-02-25T00:00:00.000Z,Turndown,2018-04-26T00:00:00.000Z,1,0,0,1,2018022301,2018-02-20T00:00:00.000Z,c9245507-ab38-4322-860a-808bccdc0f34
18031,6,LA,Louisiana                     ,0,2018-05-12T00:00:00.000Z,Major Disaster,Severe Weather and Tornados ,Severe Storm,2018-04-13T00:00:00.000Z,2018-04-14T00:00:00.000Z,Turndown,2018-07-12T00:00:00.000Z,1,0,0,1,2018050101,2018-04-06T00:00:00.000Z,d4df0e0d-61d9-46a9-90a8-3286e2b36886
18039,8,SD,South Dakota                  ,0,2018-06-14T00:00:00.000Z,Major Disaster,SD - Severe Thunderstorms & Flooding,Severe Storm,2018-05-17T00:00:00.000Z,,Turndown,2018-10-15T00:00:00.000Z,0,0,1,1,2018052501,2018-05-17T00:00:00.000Z,402827cc-19bf-4c02-935c-8d70a4285c59
18042,3,PA,Pennsylvania                  ,0,2018-06-22T00:00:00.000Z,Major Disaster,Pennsylvania Severe Storms - Landslides,Severe Storm,2018-02-15T00:00:00.000Z,2018-04-24T00:00:00.000Z,Turndown,2018-07-11T00:00:00.000Z,0,0,1,1,2018052101,2018-02-15T00:00:00.000Z,174fbcfa-a1c2-481b-a666-29694f471043
18074,4,NC,North Carolina                ,0,2018-07-30T00:00:00.000Z,Major Disaster,RIV Tropical Weather ,Severe Storm,2018-05-15T00:00:00.000Z,2018-05-31T00:00:00.000Z,Turndown,2018-11-09T00:00:00.000Z,1,0,1,1,2018052301,2018-05-15T00:00:00.000Z,68673222-3dea-4fc8-ada6-df5836fb5508
18095,2,NJ,New Jersey                    ,0,2018-08-30T00:00:00.000Z,Major Disaster,NJ Severe Storm and Flooding,Severe Storm,2018-08-11T00:00:00.000Z,2018-08-13T00:00:00.000Z,Turndown,2018-10-01T00:00:00.000Z,1,0,0,1,2018083003,2018-08-11T00:00:00.000Z,cb3b8c12-b82b-43b3-91b5-c49b99c07404
18109,6,LA,Louisiana                     ,0,2018-06-29T00:00:00.000Z,Major Disaster,Louisiana Spring Flooding,Flood,2018-02-21T00:00:00.000Z,2018-05-17T00:00:00.000Z,Turndown,2019-02-07T00:00:00.000Z,0,0,1,1,2018061802,2018-02-21T00:00:00.000Z,cd9f67b1-df5f-47e0-81f5-73cee1fcbd7f
19004,1,VT,Vermont                       ,0,2019-01-04T00:00:00.000Z,Major Disaster,Region I_11-26-2018_Severe Winter Storm,Snowstorm,2018-11-26T00:00:00.000Z,2018-11-28T00:00:00.000Z,Turndown,2019-04-08T00:00:00.000Z,0,0,1,1,2018112901,2018-11-26T00:00:00.000Z,23260c6c-c5fd-4539-b75a-bce2c3b8581a
19040,5,MI,Michigan                      ,0,2019-06-10T00:00:00.000Z,Major Disaster,MI - Flooding,Flood,2019-04-30T00:00:00.000Z,2019-05-01T00:00:00.000Z,Turndown,2019-09-06T00:00:00.000Z,1,0,0,1,2019060601,2019-05-01T00:00:00.000Z,d3fcaa49-6b9f-4e60-8ede-26253cc4506e
19079,6,AR,Arkansas                      ,0,2019-09-12T00:00:00.000Z,Major Disaster,LA Tropical Storm Barry,Coastal Storm,2019-07-09T00:00:00.000Z,2019-07-15T00:00:00.000Z,Turndown,2019-10-04T00:00:00.000Z,0,0,1,1,2019070902,2019-07-09T00:00:00.000Z,b6eacb49-ddb7-46cf-a02b-e9ec80864916
19082,8,SD,South Dakota                  ,0,2019-09-10T00:00:00.000Z,Major Disaster,SD - severe storms August 2-11 2019,Severe Storm,2019-08-02T00:00:00.000Z,2019-08-11T00:00:00.000Z,Turndown,2019-11-22T00:00:00.000Z,0,0,1,1,2019092401,2019-08-02T00:00:00.000Z,bde5d621-8b6d-412f-a967-e369175ffaa4
19089,7,NE,Nebraska                      ,0,2019-10-21T00:00:00.000Z,Major Disaster,NE Flooding - 07/15/2019,Flood,2019-07-15T00:00:00.000Z,,Turndown,2020-01-07T00:00:00.000Z,1,0,1,1,2019100301,2019-07-15T00:00:00.000Z,13ec7023-ac1c-4e8b-88e3-a4bf565ec2a6
19104,10,AK,Alaska                        ,0,2019-11-25T00:00:00.000Z,Major Disaster,AK-Swan Lake Fire-20190605,Fire,2019-06-05T00:00:00.000Z,2019-10-02T00:00:00.000Z,Turndown,2020-01-27T00:00:00.000Z,0,0,1,1,2019110702,2019-06-05T00:00:00.000Z,bd8b14de-ec0f-4fbc-8028-f462ad854a84
20004,6,TX,Texas                         ,0,2020-01-14T00:00:00.000Z,Major Disaster,TX - Tornados 10/20/2019,Tornado,2019-10-20T00:00:00.000Z,2019-10-21T00:00:00.000Z,Turndown,2020-06-10T00:00:00.000Z,0,0,1,1,2019102303,2019-10-20T00:00:00.000Z,ef4f6614-e004-4125-8e57-9889ce37169b
20005,6,AR,Arkansas                      ,0,2019-12-03T00:00:00.000Z,Major Disaster,"AR - Severe Storms, Tornado 10/21/2019",Tornado,2019-10-21T00:00:00.000Z,2019-10-21T00:00:00.000Z,Turndown,2020-04-24T00:00:00.000Z,0,0,1,1,2019102801,2019-10-21T00:00:00.000Z,4b82d6e8-206a-40a3-a20f-80fff6da07af
20006,10,AK,Alaska                        ,0,2020-02-06T00:00:00.000Z,Major Disaster,Kenai Peninsula Borough Winter Storms,Severe Storm,2019-11-27T00:00:00.000Z,2019-12-10T00:00:00.000Z,Turndown,2020-03-05T00:00:00.000Z,0,0,1,1,2020012701,2019-11-27T00:00:00.000Z,5ff96ae6-15e3-4ada-bc4c-9023010e1dd5
20146,10,AK,Alaska                        ,0,2020-04-06T00:00:00.000Z,Major Disaster,AK_Kaktovik_School_Fire,Fire,2020-02-06T00:00:00.000Z,2020-02-07T00:00:00.000Z,Turndown,2020-06-19T00:00:00.000Z,0,0,1,0,2020032301,2020-03-23T00:00:00.000Z,90e0ec54-e98c-407d-9105-c0cce6272476
20169,4,GA,Georgia                       ,0,2020-04-22T00:00:00.000Z,Major Disaster,SEVERE THUNDERSTORMS ,Severe Storm,2020-04-12T00:00:00.000Z,2020-04-13T00:00:00.000Z,Turndown,2020-04-30T00:00:00.000Z,1,0,0,1,2020041101,2020-04-11T00:00:00.000Z,5eda86e1-0088-4234-9337-7b73bc0b8d6b
20173,6,LA,Louisiana                     ,0,2020-04-25T00:00:00.000Z,Major Disaster,Louisiana - Tornado 4/12/2020,Tornado,2020-04-12T00:00:00.000Z,2020-04-12T00:00:00.000Z,Turndown,2020-04-30T00:00:00.000Z,1,0,0,1,2020041301,2020-04-12T00:00:00.000Z,bbfe1ff9-ddd9-4963-92db-f15b738abb79
20206,5,MN,Minnesota                     ,0,2020-07-02T00:00:00.000Z,Major Disaster,MN Fires due to Civil Unrest,Civil Unrest,2020-05-27T00:00:00.000Z,2020-06-03T00:00:00.000Z,Turndown,2020-08-18T00:00:00.000Z,0,0,1,1,2020061801,2020-05-26T00:00:00.000Z,cadcbd5c-7bc1-472e-acbb-cac44c8f6bb8
20209,6,LA,Louisiana                     ,0,2020-07-10T00:00:00.000Z,Major Disaster,Louisiana - Tornado 4/22/2020,Tornado,2020-04-22T00:00:00.000Z,2020-04-22T00:00:00.000Z,Turndown,2020-09-09T00:00:00.000Z,0,0,1,1,2020042301,2020-04-22T00:00:00.000Z,4103c68f-16d8-4d53-9748-00f1f0ae5289
20224,4,MS,Mississippi                   ,0,2020-07-07T00:00:00.000Z,Major Disaster,TS Cristobal,Coastal Storm,2020-06-07T00:00:00.000Z,2020-06-08T00:00:00.000Z,Turndown,2020-11-18T00:00:00.000Z,0,0,1,1,2020060302,2020-06-05T00:00:00.000Z,0689aec3-d740-4bf6-b95d-0acb5ec14e8c
20304,6,TX,Texas                         ,0,2020-09-30T00:00:00.000Z,Major Disaster,TX - Hurricane Hanna,Hurricane,2020-07-25T00:00:00.000Z,2020-07-31T00:00:00.000Z,Turndown,2021-06-01T00:00:00.000Z,0,0,1,1,2020072502,2020-07-25T00:00:00.000Z,04bde079-164d-462c-ba9b-a9d66fccf6f7
20312,3,PA,Pennsylvania                  ,0,2020-10-05T00:00:00.000Z,Major Disaster,Tropical Storm Isaias,Hurricane,2020-08-03T00:00:00.000Z,2020-08-04T00:00:00.000Z,Turndown,2020-11-18T00:00:00.000Z,1,0,1,1,2020072601,2020-08-03T00:00:00.000Z,b8a0962f-1e41-46c4-9e6d-2f86a8ba4265
21003,3,VA,Virginia                      ,0,2021-01-15T00:00:00.000Z,Emergency,National Special Security Event - 59th Presidentia,Other,2021-01-06T00:00:00.000Z,,Turndown,2021-03-18T00:00:00.000Z,0,0,1,0,2021011002,2021-01-06T00:00:00.000Z,abc8e1af-8ead-442f-993e-a5c27b8d5c2d
21004,3,MD,Maryland                      ,0,2021-01-15T00:00:00.000Z,Emergency,National Special Security Event - 59th Presidentia,Other,2021-01-06T00:00:00.000Z,,Turndown,2021-03-17T00:00:00.000Z,0,0,1,0,2021011002,2021-01-06T00:00:00.000Z,7125c574-840c-48e9-a8df-cd055f0fe9a8
21008,4,AL,Alabama                       ,0,2021-02-12T00:00:00.000Z,Major Disaster,Severe Weather/Tornados,Tornado,2021-01-25T00:00:00.000Z,2021-01-25T00:00:00.000Z,Turndown,2021-03-17T00:00:00.000Z,1,0,0,1,2021020401,2021-01-25T00:00:00.000Z,2351c88f-d02d-41aa-9ece-ab7f8583a718
21057,8,WY,Wyoming                       ,0,2021-05-07T00:00:00.000Z,Major Disaster,WY 2021 Winter Storm-Snow,Snowstorm,2021-03-13T00:00:00.000Z,2021-03-15T00:00:00.000Z,Turndown,2021-07-21T00:00:00.000Z,0,0,1,1,2021051201,2021-03-13T00:00:00.000Z,b4d92203-c982-4b56-bdf0-e0543e33a536
21076,8,MT,Montana                       ,1,2021-08-02T00:00:00.000Z,Major Disaster,MT - Ft Peck Indian Res - Straight Line Winds,Severe Storm,2021-06-08T00:00:00.000Z,2021-06-08T00:00:00.000Z,Turndown,2021-09-13T00:00:00.000Z,1,0,0,1,2021080902,2021-06-08T00:00:00.000Z,2f1a946a-d719-4864-a85c-9af622e6b81b
21079,4,KY,Kentucky                      ,0,2021-08-19T00:00:00.000Z,Major Disaster,R4 Kentucky Flash Flooding,Flood,2021-07-29T00:00:00.000Z,2021-07-30T00:00:00.000Z,Turndown,2021-10-08T00:00:00.000Z,1,0,0,1,2021080601,2021-07-29T00:00:00.000Z,48aff6be-0b9c-4138-ac91-9aa092648121
21108,3,MD,Maryland                      ,0,2021-09-27T00:00:00.000Z,Major Disaster,Remnants of Hurricane Ida,Hurricane,2021-08-31T00:00:00.000Z,2021-09-04T00:00:00.000Z,Turndown,2021-10-08T00:00:00.000Z,1,0,0,1,2021082601,2021-08-27T00:00:00.000Z,44b637da-fe90-414a-b5df-a9655ab1588f
21109,6,TX,Texas                         ,0,2021-09-20T00:00:00.000Z,Emergency,Texas - Border Security,Other,2021-05-31T00:00:00.000Z,,Turndown,2021-10-24T00:00:00.000Z,0,0,1,0,2021092001,2021-05-31T00:00:00.000Z,010ddb93-5f22-4bd4-9a4c-f9c94b2ff595
21112,5,MN,Minnesota                     ,1,2021-09-30T00:00:00.000Z,Major Disaster,Red Lake Severe Storms,Tornado,2021-07-26T00:00:00.000Z,2021-07-26T00:00:00.000Z,Turndown,2021-10-24T00:00:00.000Z,1,0,1,1,2021092801,2021-07-26T00:00:00.000Z,41afa0e4-6f8b-41a0-bcce-5e1a40aa6d61
21114,6,NM,New Mexico                    ,0,2021-10-06T00:00:00.000Z,Major Disaster,New Mexico Severe Storms and Flooding,Flood,2021-08-12T00:00:00.000Z,2021-08-16T00:00:00.000Z,Turndown,2021-11-12T00:00:00.000Z,1,0,1,1,2021100601,2021-08-12T00:00:00.000Z,834622a6-9561-47b6-9702-263076d53029
21118,10,OR,Oregon                        ,0,2021-10-06T00:00:00.000Z,Major Disaster,OR-Bootleg Fire-07/10/21,Fire,2021-07-06T00:00:00.000Z,2021-08-15T00:00:00.000Z,Turndown,2021-10-26T00:00:00.000Z,1,0,0,1,2021071101,2021-07-10T00:00:00.000Z,7e249ab9-40cc-447d-ba0f-8f1296ef9f94
22006,4,FL,Florida                       ,0,2022-01-24T00:00:00.000Z,Major Disaster,R04 FL Severe Storms and Tornadoes,Tornado,2022-01-16T00:00:00.000Z,2022-01-16T00:00:00.000Z,Turndown,2022-04-24T00:00:00.000Z,1,0,0,0,2022011801,2022-01-16T00:00:00.000Z,b1ab7c5a-112f-4e91-bf39-acc31e3f0e88
22035,4,MS,Mississippi                   ,0,2022-04-28T00:00:00.000Z,Major Disaster,"Severe Storms and Tornadoes - March 21-22, 2022",Severe Storm,2022-03-22T00:00:00.000Z,2022-03-22T00:00:00.000Z,Turndown,2022-07-18T00:00:00.000Z,1,0,0,1,2022032102,2022-03-21T00:00:00.000Z,534bd57f-9d88-4f89-9e87-483a1b34b51e
22037,4,MS,Mississippi                   ,0,2022-04-29T00:00:00.000Z,Major Disaster,R04 Severe Storms,Severe Storm,2022-03-30T00:00:00.000Z,2022-03-30T00:00:00.000Z,Turndown,2022-07-02T00:00:00.000Z,1,0,0,1,2022033001,2022-03-30T00:00:00.000Z,80d1cf35-844b-4b31-8dc7-fc3f8dd49f47
22044,4,TN,Tennessee                     ,0,2022-05-27T00:00:00.000Z,Major Disaster,R04 Wears Valley Wildfire ,Fire,2022-03-30T00:00:00.000Z,2022-04-05T00:00:00.000Z,Turndown,2022-07-02T00:00:00.000Z,1,0,0,1,2022051203,2022-03-30T00:00:00.000Z,b5af92dc-4370-46b9-96ad-b21bf7c73c9b
22045,3,WV,West Virginia                 ,0,2022-06-03T00:00:00.000Z,Major Disaster,"WV, Severe Storms and Flooding- May 6, 2022",Flood,2022-05-06T00:00:00.000Z,2022-05-07T00:00:00.000Z,Turndown,2022-08-27T00:00:00.000Z,1,0,0,1,2022052301,2022-05-06T00:00:00.000Z,608c1d5c-4123-41ea-92b5-be0f700f7b90
22046,5,MI,Michigan                      ,0,2022-06-08T00:00:00.000Z,Major Disaster,MI - Otsego County - Tornado and Severe Weather,Tornado,2022-05-20T00:00:00.000Z,2022-05-20T00:00:00.000Z,Turndown,2022-07-02T00:00:00.000Z,1,0,0,1,2022060301,2022-05-20T00:00:00.000Z,72dda701-9970-44a4-b3fe-b4a3b2d71078
22081,10,OR,Oregon                        ,0,2022-09-09T00:00:00.000Z,Emergency,OR_Wildfire Response ,Fire,2022-09-08T00:00:00.000Z,,Turndown,2023-01-04T00:00:00.000Z,0,0,1,0,2022091001,2022-09-08T00:00:00.000Z,dd390694-2237-4107-b226-1bb723d6b6fd
22092,4,GA,Georgia                       ,0,2022-10-04T00:00:00.000Z,Major Disaster,"R4 Flooding in Chattooga/Floyd Counties, GA",Flood,2022-09-04T00:00:00.000Z,2022-09-14T00:00:00.000Z,Turndown,2022-12-31T00:00:00.000Z,1,0,0,0,2022090602,2022-09-04T00:00:00.000Z,6e39a462-adc5-4d4b-a222-bfc9b83d08e3
22094,3,WV,West Virginia                 ,0,2022-10-14T00:00:00.000Z,Major Disaster,WV Severe Storms and Flooding ,Flood,2022-07-25T00:00:00.000Z,2022-08-01T00:00:00.000Z,Turndown,2022-12-05T00:00:00.000Z,0,0,1,1,2022092002,2022-07-25T00:00:00.000Z,2bb338b7-5164-46e7-acc0-ea898903cdfb
22095,3,WV,West Virginia                 ,0,2022-10-14T00:00:00.000Z,Major Disaster,WV Severe Storms and Flooding ,Flood,2022-08-11T00:00:00.000Z,2022-08-11T00:00:00.000Z,Turndown,2022-12-05T00:00:00.000Z,0,0,1,1,2022092001,2022-08-11T00:00:00.000Z,73209179-f407-4c43-9a0b-b6c29eb0e61b
22098,8,UT,Utah                          ,0,2022-10-19T00:00:00.000Z,Major Disaster,UT Flooding - 08/19/2022,Flood,2022-08-19T00:00:00.000Z,2022-08-21T00:00:00.000Z,Turndown,2023-01-18T00:00:00.000Z,0,0,1,1,2022092701,2022-08-19T00:00:00.000Z,603a5c1a-7bd9-47ed-b195-bb923d7473e1
22100,9,CA,California                    ,0,2022-10-26T00:00:00.000Z,Major Disaster,California Extreme Heat Event and Wildfires,Fire,2022-08-29T00:00:00.000Z,,Turndown,2023-05-16T00:00:00.000Z,1,0,1,1,2022100501,2022-08-30T00:00:00.000Z,30d6fef7-7557-4eac-98bc-ff7e44969164
23001,6,OK,Oklahoma                      ,1,2023-01-03T00:00:00.000Z,Major Disaster,Severe Weather 11/4/2022,Severe Storm,2022-11-04T00:00:00.000Z,2022-11-04T00:00:00.000Z,Turndown,2023-05-18T00:00:00.000Z,0,0,1,1,2022110401,2022-11-04T00:00:00.000Z,08cb53b4-da28-4f12-b6e4-09917e7465ce
23010,6,TX,Texas                         ,0,2023-02-07T00:00:00.000Z,Major Disaster,Severe Weather,Severe Storm,2023-01-24T00:00:00.000Z,2023-01-24T00:00:00.000Z,Turndown,2023-03-16T00:00:00.000Z,1,0,0,1,2023012401,2023-01-24T00:00:00.000Z,7011da95-f41d-40dc-8c1a-25ec98d85f5e
23019,9,HI,Hawaii                        ,0,2023-01-20T00:00:00.000Z,Major Disaster,Mauna Loa Volcanic Eruption,Volcanic Eruption,2022-11-27T00:00:00.000Z,2022-12-16T00:00:00.000Z,Turndown,2023-03-01T00:00:00.000Z,0,0,1,1,2022120301,2022-11-28T00:00:00.000Z,f6b4c76b-a1f8-466a-affc-3f3e7929dac3
23020,10,OR,Oregon                        ,0,2023-02-28T00:00:00.000Z,Major Disaster,OR_Severe Winter Storm,Severe Storm,2022-12-26T00:00:00.000Z,2022-12-31T00:00:00.000Z,Turndown,2023-04-05T00:00:00.000Z,0,0,1,1,2023020101,2022-12-26T00:00:00.000Z,74650b20-9c51-4882-9ceb-a26b206644d0
23026,8,ND,North Dakota                  ,0,2023-03-21T00:00:00.000Z,Major Disaster,ND freezing fog,Freezing,2023-01-16T00:00:00.000Z,2023-01-20T00:00:00.000Z,Turndown,2023-05-09T00:00:00.000Z,0,0,1,1,2023031701,2023-01-16T00:00:00.000Z,8f690aa9-afc5-486e-b84a-a54a3872ab37
23040,5,IL,Illinois                      ,0,2023-04-05T00:00:00.000Z,Emergency,R5-Illinois-March 31st Severe Storms Tornadoes ,Severe Storm,2023-03-31T00:00:00.000Z,2023-04-01T00:00:00.000Z,Turndown,2023-05-06T00:00:00.000Z,0,0,1,0,2023041002,2023-03-31T00:00:00.000Z,2c6f1717-2c9f-40cc-92a3-6c6f6c13cbb7
23051,1,NH,New Hampshire                 ,0,2023-05-12T00:00:00.000Z,Major Disaster,Severe Winter Storm ,Snowstorm,2023-03-13T00:00:00.000Z,2023-03-15T00:00:00.000Z,Turndown,2023-12-23T00:00:00.000Z,0,0,1,1,2023032901,2023-03-13T00:00:00.000Z,4a1ecfe0-e517-4267-b1b6-d74b44559ca1
23055,4,GA,Georgia                       ,0,2023-05-26T00:00:00.000Z,Major Disaster,Severe Weather,Severe Storm,2023-03-25T00:00:00.000Z,2023-03-27T00:00:00.000Z,Turndown,2023-08-22T00:00:00.000Z,1,0,1,1,2023032302,2023-03-24T00:00:00.000Z,f5699740-e88e-4cbf-94f6-8db1105af39b
23057,7,IA,Iowa                          ,0,2023-06-06T00:00:00.000Z,Emergency,R7 Iowa Building Collapse,Other,2023-05-28T00:00:00.000Z,2023-05-28T00:00:00.000Z,Turndown,2023-06-28T00:00:00.000Z,0,0,1,0,2023060701,2023-05-28T00:00:00.000Z,a3c7d135-382a-4df8-b81b-d534406aca31
23060,5,MI,Michigan                      ,0,2023-06-15T00:00:00.000Z,Major Disaster,Flooding/ Spring Thaw/ Snow Melt MI,Flood,2023-04-10T00:00:00.000Z,2023-05-14T00:00:00.000Z,Turndown,2023-08-25T00:00:00.000Z,0,0,1,1,2023051102,2023-04-10T00:00:00.000Z,e59983f9-cc48-4620-b85f-05eeb2933b70
23066,10,AK,Alaska                        ,1,2023-06-29T00:00:00.000Z,Emergency,ICAS_Severed Fiber Optic Cable,Other,2023-06-10T00:00:00.000Z,,Turndown,2024-01-31T00:00:00.000Z,0,0,1,0,2023070601,2023-06-10T00:00:00.000Z,dfe3c116-d94b-4f58-a397-41a88983c538
23067,5,OH,Ohio                          ,0,2023-07-03T00:00:00.000Z,Major Disaster,"Ohio Train Derailment, East Palestine",Explosion,2023-02-03T00:00:00.000Z,2023-02-08T00:00:00.000Z,Turndown,2025-01-01T00:00:00.000Z,1,0,1,1,2023070401,2023-02-03T00:00:00.000Z,bda3841f-2612-4598-9359-efdd85e3e925
23079,1,NH,New Hampshire                 ,0,2023-07-28T00:00:00.000Z,Major Disaster,Flooding ,Flood,2023-04-30T00:00:00.000Z,2023-05-01T00:00:00.000Z,Turndown,2023-09-26T00:00:00.000Z,0,0,1,1,2023051002,2023-04-30T00:00:00.000Z,1827b09e-2412-4811-b29e-73f8ede93f98
23082,3,PA,Pennsylvania                  ,0,2023-07-31T00:00:00.000Z,Major Disaster,R3_07092023 Severe Storms and Flooding _PA,Flood,2023-07-09T00:00:00.000Z,2023-07-09T00:00:00.000Z,Turndown,2023-09-26T00:00:00.000Z,1,0,1,1,2023071702,2023-07-09T00:00:00.000Z,24786a02-d79a-46ab-bd34-ecb338f3b15b
23094,7,IA,Iowa                          ,0,2023-06-20T00:00:00.000Z,Major Disaster,R7 Iowa Building Collapse,Other,2023-05-28T00:00:00.000Z,2023-05-28T00:00:00.000Z,Turndown,2023-08-15T00:00:00.000Z,0,0,1,0,2023060701,2023-05-28T00:00:00.000Z,99eae300-f372-4eb7-9615-205dec35d619
